GeneName	ArcA	ArgR	CRP	CspA	CsrA	CysB	DcuR	ExuR	FadR	FecI	FIS	FNR	FruR	Fur	GatR	Hns	IclR	IHF	IscR	IlvY	LeuO	Lrp	LysR	MalT	MetJ	MetR	NadR	OxyR	PurR	RpoN	RpoS	XylR	YjbK	Str.Res.(SerineHydroxamate)
cyoC	-1.80802	0	0	0	0	0	0	0	0	0	0	-2.46823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cyoB	-1.7679	0	0	0	0	0	0	0	0	0	0	-2.52048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cyoA	-1.05215	0	0	0	0	0	0	0	0	0	0	-1.25115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
purK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.847873	0	0	0	0	0
purE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.836317	0	0	0	0	0
appY	0.613794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.310315	0	0	0
entD	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.42438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fepA	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.28421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fepC	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.973773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fepG	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.436551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fepD	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.251719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fepB	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.27487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
entC	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.94105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
entE	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.73212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
entB	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.59315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
entA	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.1643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ybdB	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.762888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b0598	0	0	2.49563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ahpC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4446	0	0	0	0	0	0
ahpF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.926641	0	0	0	0	0	0
fur	0	0	0.570405	0	0	0	0	0	0	0	0	0	0	-0.22926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pgm	0	0	0	0	-0.376638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gltA	-0.991412	0	-0.227845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sdhC	0.791996	0	1.90191	0	0	0	0	0	0	0	2.10625	-0.0790173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sdhD	1.32659	0	0.671115	0	0	0	0	0	0	0	2.37662	2.88561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sdhA	0.391736	0	0.814615	0	0	0	0	0	0	0	1.5481	1.66834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sdhB	0.199329	0	0.49713	0	0	0	0	0	0	0	1.37429	1.52264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b0725	0.611337	0	1.68188	0	0	0	0	0	0	0	1.51345	0.770862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.669538
sucA	0.313501	0	1.43648	0	0	0	0	0	0	0	2.35061	0.063847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sucB	-0.326516	0	0.791488	0	0	0	0	0	0	0	1.34891	0.223108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sucC	-0.723604	0	0.602183	0	0	0	0	0	0	0	0.983599	0.419477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sucD	-2.32435	0	-1.07151	0	0	0	0	0	0	0	-1.07569	0.0344917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cydA	0.35046	0	0	0	0	0	0	0	0	0	0	1.50659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cydB	0.560903	0	0	0	0	0	0	0	0	0	0	1.66287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dps	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.00327	0	0	0	0	0	0	0	0	0	-0.0630191	0	0	0.836022	0	0	0
cspD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.06959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lrp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.52565	0	0	0	0	0	0	0	0	0	0	0	0
dmsB	0	0	0	0	0	0	0	0	0	0	0	0.13068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dmsC	0	0	0	0	0	0	0	0	0	0	0	0.763785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pflB	5.18406	0	-2.20628	0	0	0	0	0	0	0	0	7.43509	0	0	0	0	0	-4.91554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
focA	2.20623	0	-1.06995	0	0	0	0	0	0	0	0	3.80768	0	0	0	0	0	-1.35703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
himD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.481903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pncB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.44201	0	0	0	0	0	0	0
pyrD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.522079	0	0	0	0	-1.67121
fabA	0	0	0	0	0	0	0	0	0.9187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ompA	0	0	-1.24064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pyrC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.44634	0	0	0	0	0
ndh	0	0	0	0	0	0	0	0	0	0	0	-0.793055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
purB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.52603	0	0	0	0	0
ycfC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.382311	0	0	0	0	-1.13104
icdA	-3.75412	0	0	0	0	0	0	0	0	0	0	-5.45199	-1.27731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dadA	0	0	1.74075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dadX	0	0	1.29133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
prsA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.13517	0	0	0	0	0
narK	0	0	0	0	0	0	0	0	0	0	0	0.795414	0	0	0	0	0	0.267476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
narG	0	0	0	0	0	0	0	0	0	0	0	-0.034244	0	0	0	0	0	0.392576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
narH	0	0	0	0	0	0	0	0	0	0	0	0.679738	0	0	0	0	0	0.651334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
narJ	0	0	0	0	0	0	0	0	0	0	0	0.257074	0	0	0	0	0	0.103198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
narI	0	0	0	0	0	0	0	0	0	0	0	0.0337289	0	0	0	0	0	0.213452	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hns	0	0	0	0.923969	0	0	0	0	0	0	0	0	0	0	0	1.81997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
adhE	0	0	0	0	0	0	0	0	0	0	1.01242	0	-1.22967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.37687	0	0	2.02605
oppA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.890828	0	0	0	0	0	0	0	0	0	0	0	0
oppC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.123609	0	0	0	0	0	0	0	0	0	0	0	0
oppD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0193373	0	0	0	0	0	0	0	0	0	0	0	0
oppF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0742012	0	0	0	0	0	0	0	0	0	0	0	0
tonB	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.724733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fnr	0	0	0	0	0	0	0	0	0	0	0	0.147004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
narV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0953003	0	0	0
narW	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.269193	0	0	0
narY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.633292	0	0	0
narZ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.049255	0	0	0
fdnG	0	0	0	0	0	0	0	0	0	0	0	1.00779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fdnI	0	0	0	0	0	0	0	0	0	0	0	-0.27119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
osmC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.825157	0	0	0	0	0	-0.32354	0	0	0	0	0	0	0	0	0.402865	0	0	0
fumA	0.269118	0	0	0	0	0	0	0	0	0	0	2.68753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
purR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.581474	0	0	0	0	0
pykF	0	0	0	0	-0.960627	0	0	0	0	0	0	0	-1.25441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
himA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.558179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
pfkB	0	0	0	0	-0.575981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
osmE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.98439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sdaA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.669963	0	0	0	0	0	0	0	0	0	0	0	0
yebL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.80203	0
b1858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.828557	0
yebI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.369415	0
gatR_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.10533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.105384
gatD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.21517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gatC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.1173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gatB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.884055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gatA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.10756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gatZ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.683009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.363036
gatY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.887581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.436839
cirA	0	0	-0.110524	0	0	0	0	0	0	0	0	0	0	-2.55221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fruA	0	0	0	0	0	0	0	0	0	0	0	0	-2.01639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fruK	0	0	0	0	0	0	0	0	0	0	0	0	-1.75859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fruB	0	0	0	0	0	0	0	0	0	0	0	0	-1.96611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rcsB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.413974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
atoC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.915752	0	0	0	0
gyrA	0	0	0	1.07603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ubiG	0	0	-0.781597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nrdA	0	0	0	0	0	0	0	0	0	0	0.580362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nrdB	0	0	0	0	0	0	0	0	0	0	0.857419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nuoN	0.259693	0	0	0	0	0	0	0	0	0	0	0.555103	0	0	0	0	0	-0.369178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nuoM	-0.911754	0	0	0	0	0	0	0	0	0	0	-0.203343	0	0	0	0	0	1.08248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nuoL	-0.266435	0	0	0	0	0	0	0	0	0	0	0.45288	0	0	0	0	0	0.253749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nuoK	-0.554877	0	0	0	0	0	0	0	0	0	0	-0.235609	0	0	0	0	0	0.978645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nuoJ	-1.1205	0	0	0	0	0	0	0	0	0	0	-0.22723	0	0	0	0	0	1.28371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nuoI	-1.92055	0	0	0	0	0	0	0	0	0	0	-1.11993	0	0	0	0	0	2.29887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nuoH	-0.959749	0	0	0	0	0	0	0	0	0	0	0.118354	0	0	0	0	0	1.41338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nuoG	0.62846	0	0	0	0	0	0	0	0	0	0	1.5028	0	0	0	0	0	-0.692972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nuoF	-0.534241	0	0	0	0	0	0	0	0	0	0	0.186758	0	0	0	0	0	0.490741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nuoE	-0.76764	0	0	0	0	0	0	0	0	0	0	0.214754	0	0	0	0	0	0.776962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b2286	0.234675	0	0	0	0	0	0	0	0	0	0	1.01141	0	0	0	0	0	-0.13407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nuoB	0.818632	0	0	0	0	0	0	0	0	0	0	2.07323	0	0	0	0	0	-0.852027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nuoA	0.829858	0	0	0	0	0	0	0	0	0	0	1.83971	0	0	0	0	0	-0.84699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ubiX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.481629	0	0	0	0	0
purF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.82948	0	0	0	0	-3.33211
cvpA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.06853	0	0	0	0	-2.52773
cysK	0	0	0	0	0	0.881455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cysM	0	0	0	0	0	0.293723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cysA	0	0	0	0	0	0.986366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cysW	0	0	0	0	0	0.384025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cysU	0	0	0	0	0	0.573635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cysP	0	0	0	0	0	1.12077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
purC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.509097	0	0	0	0	0
purM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.169494	0	0	0	0	-1.2616
purN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.3545	0	0	0	0	0
guaA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.18488	0	0	0	0	0
guaB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.29857	0	0	0	0	0
yfhF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.53599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b2529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.969422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b2530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.22521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b2531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.26937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glnB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.093214	0	0	0	0	0
purL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.48068	0	0	0	0	0
nadB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.557986	0	0	0	0	0	0	0
stpA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.250473	0	0	0	0	0	-0.849451	0	0	0	0	0	0	0	0	0	0	0	0.163527
fhlA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.631904	0	0	0	0
rpoS	0	0	-0.031719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cysC	0	0	0	0	0	1.05768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cysN	0	0	0	0	0	1.0671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.143714
cysD	0	0	0	0	0	1.07746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0110776
cysH	0	0	0	0	0	1.45985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cysI	0	0	0	0	0	1.46054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cysJ	0	0	0	0	0	1.63739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eno	0	0	0	0	-0.209792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lysA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.878257	0	0	0	0	0	0	0	0	0	0	0
lysR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.12174	0	0	0	0	0	0	0	0	0	0	0
serA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.07628	0	0	0	0	0	0	0	0	0	0	0	0
pgk	0	0	-0.520828	0	0	0	0	0	0	0	0	0	-0.618913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
epd	0	0	-0.854597	0	0	0	0	0	0	0	0	0	-0.75532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
speB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.237027	0	0	0	0	0
speA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0517917	0	0	0	0	0
ansB	0	0	0.263781	0	0	0	0	0	0	0	0	-0.375337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
speC	0	0	-1.04017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
