csgD	0	-0.214	-0.161	-0.058	0.049	0.06	-0.027	0.061	-0.116	-0.004
csgE	0	-0.27	-0.782	-0.837	-0.372	-0.053	-0.188	-0.02	-0.153	-0.176
csgF	0	-0.75	-0.563	-0.453	0.005	0.155	-0.074	0.028	-0.096	-0.048
csiE	0	0.849	0.961	1.05	1.069	0.785	0.489	0.518	0.414	0.367
ftsZ	0	-0.012	-0.087	-0.106	-0.163	-0.123	-0.099	-0.085	-0.104	-0.038
galE	0	0.262	0.253	0.222	0.183	0.095	0.089	0.075	0.097	0.163
galK	0	0.118	0.179	0.211	0.147	0.209	0.149	0.115	0.295	0.095
galT	0	0.258	0.241	0.199	0.145	0.154	0.122	0.059	0.129	0.158
glgA	0	0.2	-0.027	-0.117	-0.233	-0.359	-0.379	-0.264	-0.447	-0.284
glpD	0	0.945	0.65	0.411	0.329	0.093	0.078	0.056	0.058	0.062
gor	0	0.064	0.164	0.162	0.031	-0.038	-0.052	-0.085	-0.027	-0.123
hdeA	0	0.047	0.186	0.418	0.688	0.892	0.827	0.772	0.672	0.472
hdeB	0	0.037	0.122	0.317	0.507	0.754	0.662	0.469	0.537	0.474
ldcC	0	0.215	0.237	0.192	0.178	0.082	0.032	-0.011	-0.011	0.015
mutH	0	0.031	0.043	0.006	-0.03	0.082	0.184	0.077	0.19	0.068
osmE	0	0.343	0.613	0.538	0.369	0.003	-0.15	-0.341	-0.227	-0.249
poxB	0	0.093	0.164	0.116	0.275	0.382	0.159	0.075	0.008	-0.056
pspA	0	0.935	0.718	0.303	0.334	0.129	0.028	-0.018	0.021	0.038
rob	0	0.186	0.272	0.223	0.269	0.218	0.077	0.032	0.081	0.102
topA	0	-0.208	-0.281	-0.248	-0.235	-0.04	-0.003	-0.014	-0.088	-0.088
wrbA	0	0.14	0.299	0.285	0.321	0.144	-0.046	-0.174	-0.364	-0.267
xthA	0	-0.154	-0.136	-0.176	-0.009	0.121	0.159	0.131	0.149	0.139
yciG	0	0.082	0.144	0.202	0.518	0.547	0.205	0.136	0.133	0.016
ppsA	0	-0.332	-0.448	-0.495	-0.363	0.121	0.286	0.39	0.404	0.461
